original 	 predicted
3114.68	3032.1192828363846
2537.26	2439.6242255621805
5426.8099999999995	5309.34375712295
5867.76	5787.917510861667
5545.11	5513.509684908782
2871.29	2891.888195435623
4333.94	4143.190434057658
5566.34	5456.452904289665
3762.95	3829.7981651589535
2316.5	2169.9109498188996
3451.51	3346.8077062908906
5841.71	5814.969300120315
6355.79	6358.497097974769
4379.76	4481.861004668771
3818.88	3601.9499377924676
2498.69	2408.0104650605044
3813.6900000000005	3887.9636031739446
6547.15	6439.775600391461
6106.92	5987.708009222337
2718.5	2548.0894228861516
4117.9	4394.847648150806
4260.63	4281.3467913411705
5724.699999999999	5836.072800385715
4567.91	4350.278829515386
2445.67	2301.4820757393836
1704.59	1903.2419200834502
3756.2800000000007	3549.081562560954
6235.34	6101.413506210794
1808.24	1981.4219761689164
3232.65	3192.311101264876
4151.46	3962.1276924389513
3788.2800000000007	3633.321419888064
1916.21	1962.8416575074443
5038.52	4869.3784938930385
2971.63	2857.3131280496646
2020.14	2041.8011899438095
2932.27	3007.017042145698
6351.92	6232.6212836186205
3302.26	3150.646216480469
3160.35	3084.122221385312
6052.62	5927.670278909041
5669.32	5613.272202359624
7004.26	6606.6838085003865
4212.27	4018.5963556696415
2633.21	2769.434682092098
6432.8	6280.474845256521
2781.02	2631.478844112088
3479.58	3322.1290024295085
5098.97	5034.120319625596
2614.44	2663.892750678613
5899.36	5878.624874263417
3827.62	3618.575096959415
6533.29	6292.410510485253
3860.6400000000003	3889.676565865113
6180.53	6130.169638393642
2215.72	2256.8398814057928
5645.889999999999	5944.583648323967
3630.98	3913.5727118586847
4902.93	4717.629622959147
5791.08	5721.724244577465
3178.81	3058.8021703070863
5267.49	5495.350636594981
4157.42	3954.181074626543
4980.6	4854.514938900365
3079.6	2974.5762653266956
6756.95	6449.637333835135
6514.44	6326.081651104054
4324.04	4084.5128535383146
4739.22	4734.574296828009
4095.41	5200.004985401508
4374.66	4220.858536792018
4244.6	4760.965196545887
4437.82	4836.834166788903
3336.76	3417.5243973408633
3087.19	2982.8194207088422
4029.3900000000003	4014.3440802578125
2972.79	2843.2527874779303
2684.37	2530.535828787532
4304.41	4354.020475496328
2900.22	2822.3409304869165
4907.97	4778.602498319384
3594.32	3466.088915959809
1918.87	1972.5405646534145
3526.71	3767.0030078001673
4811.859999999999	4703.113694987882
6022.18	5914.756057887149
4321.12	4151.996771747985
2448.11	2284.2639210875054
2061.11	2056.0454605279797
6738.92	6512.534360615043
4035.79	4318.711435936719
4168.76	4139.752855611751
3619.78	3570.7499596754815
3877.9300000000003	3656.4886843228282
2073.31	2194.9894433189
3331.84	3230.780759633527
1978.39	2028.3323991254254
6097.29	5975.204826729973
2650.41	2654.0487780743983
1802.07	1929.4938732462228
4835.6	4642.495671368083
5836.88	6061.276962266199
3578.64	3512.274652433285
4198.04	3955.631325128714
4473.85	4555.247662347891
3007.52	3047.6760541895546
1752.73	1917.790804816828
4970.4	4793.31004568844
1928.37	1957.9157102737968
3965.92	4169.783343070063
6272.01	6314.559812609388
2768.76	2641.2777288070442
2368.61	2217.727896959401
6986.26	6554.155574210011
3297.39	3249.045864901387
3517.58	3715.068567367025
4681.39	4554.024646181177
5044.92	5618.73667278904
2565.78	2521.851096804364
2997.65	3041.029307977318
2824.88	2750.6908558185837
2902.4	3092.4484682274506
6460.56	6245.122684077751
6389.89	6195.582430769131
5091.79	5143.460071648349
2405.69	2353.6537227062195
3446.41	3372.624924542749
3050.81	2995.2416835592267
5208.36	5186.454782773288
4241.34	4025.709966815991
5136.98	5006.948042076749
4445.09	4352.4303782697925
4989.41	5067.523841154411
error	5.9718308711366825%
